PLAYER_ID;PLAYER_NAME;TEAM_NAME;TOTAL_XG;GOALS;SHOT_COUNT;XG_PER_SHOT
am70epdl0361z5af8ahskcdsl;N. Kant??;Chelsea;1,253215233;1;25;0,050128609
a28kr2vgqtucg82768v067a39;D. Gayle;Newcastle United;9,986544954;6;57;0,175202543
ebj88k2kxp7r1x6lmrqacuaj9;M. Lanzini;West Ham United;3,176016999;5;43;0,07386086
ubuow4ad6azso5zz51b4tivp;C. Benteke;Crystal Palace;7,40899581;2;58;0,127741307
3k6znit6fd9mbfcnphlwyvj6d;P. Gro??;Brighton & Hove Albion;3,470957073;6;43;0,080719932
e6jaaazxqeczj6ziaj0qnqpxx;R. Loftus-Cheek;Crystal Palace;2,808930516;2;32;0,087779079
a1czet39d90m8p82dhwzc6ket;Y. Cabaye;Crystal Palace;2,945654945;0;38;0,077517235
94aaeni055fwrbnnpr1vqi2tx;M. Lowton;Burnley;0,121445584;0;4;0,030361396
b486fhu2s7pyi92yk1iczglp1;T. Kongolo;Huddersfield Town;0,297339468;0;2;0,148669734
2ylw573o2rkvuczi9nm5t7hed;R. van La Parra;Huddersfield Town;2,887016503;2;42;0,068738488
50tnoldrs0u2s1ca9irkrtdjp;S. Malone;Huddersfield Town;0,439803095;0;8;0,054975387
33ba9gzkz30b5m4049ze1rw7p;J. Cork;Burnley;2,472568828;2;15;0,164837922
e9l5r0txzrjbenli05rn3k4wl;R. Sterling;Manchester City;15,04196551;17;86;0,174906576
b9g4qurpll4wizajo95c406hh;H. Kane;Tottenham Hotspur;21,79042076;28;181;0,120389065
48hur5fmszaqltysykkb4js2d;D. Alli;Tottenham Hotspur;8,977797422;9;69;0,130113006
eh3ku8tdaax6p4g65ttvgqk7p;W. Routledge;Swansea City;0,721971255;0;5;0,144394251
34f7qo18vadmtj5qq0w3x5xat;A. Townsend;Crystal Palace;4,35423074;2;62;0,070229528
836552oibqphv3wkfk7hv1i39;M. Diouf;Stoke City;6,567419287;6;59;0,111312191
elkryb3hodglr6wu0rh4uoslx;S. Berahino;Stoke City;1,181216889;0;9;0,131246321
blczo3w34ik1wuu9r042gfvf9;J. Rodriguez;West Bromwich Albion;7,547547025;6;68;0,110993339
fvuj5umkjxxb1btu6004xjh1;Jo?úo M?≠rio;West Ham United;1,782255699;2;16;0,111390981
8c1r97aweyfc0woefvlfy2l05;Lucas Moura;Tottenham Hotspur;0,261265378;0;5;0,052253076
djqagc8dcwm3kvsikrrirkzpx;J. Hern?≠ndez;West Ham United;4,049625876;8;29;0,139642272
6rb3x2jazm744c753mujymf9x;J. Allen;Stoke City;2,46547124;2;24;0,102727968
6wpnjdlg2p8f19y3gjpz1su6t;Kiko Femen??a;Watford;0,489039793;1;9;0,054337755
35jaxclh329duzefna708jk5x;J. Tarkowski;Burnley;1,164792083;0;18;0,064710671
e998bmgwbevrcvojifp8n9tjp;L. Koscielny;Arsenal;2,211024379;2;9;0,245669375
bb0zj4rt5l4vjtdzghhj3n7it;Ki Sung-Yeung;Swansea City;1,135912367;2;20;0,056795618
av7e2wk5ub7qnh3sqcvssvh79;S. Cook;AFC Bournemouth;1,591079721;2;22;0,072321805
8jtgnwat07bjub57femcqjmxh;J. King;AFC Bournemouth;5,756580933;6;49;0,117481244
968tkl9pf7jvluzu4v9ed91hx;L. Fer;Swansea City;1,744727108;1;12;0,145393926
5f72vvw62zdlyrj3mwux2udat;J. Lingard;Manchester United;7,217180558;8;56;0,128878224
9qdm0nxg1g046olii48z3crf9;K. Zouma;Stoke City;1,512330424;1;20;0,075616521
9i7lb16qty1t21bnc5h7skclx;Marcos Alonso;Chelsea;4,219582011;7;65;0,064916646
1dtqtpia68f64f7bqlmiyps5x;M. James;Leicester City;1,575499668;0;11;0,143227243
as2c77rim078iieiqfr6u9h3p;C. Atsu;Newcastle United;4,06949526;2;35;0,116271293
4450s1rbzq3zph38pkejlc4wl;C. Brunt;West Bromwich Albion;2,121514271;0;25;0,084860571
oel537m4mtjwwnyusz6efj6d;M. Batshuayi;Chelsea;1,137063304;2;13;0,087466408
f2ylgke3glk7nb6bqxmgx8st1;N. Dyer;Swansea City;1,050575395;0;10;0,105057539
9y1qntr9sn5shpry2e7ewp39x;Sandro Ram??rez;Everton;0,876186662;0;9;0,097354074
6cdcb3idbv5cul2kxv8gw5zv9;J. Morrison;West Bromwich Albion;0,537950478;1;4;0,134487619
ezkzz0hfih8gq05vfvnt2kvyt;C. L??we;Huddersfield Town;0,3706937;0;8;0,046336713
a3w1uczgmswm3cwk4vmvoglhx;Alberto Moreno;Liverpool;0,716496915;0;12;0,059708076
d5prwmauk8xhhmpkempqydr6d;K. Palmer;Huddersfield Town;0,12213863;0;2;0,061069315
8qygcyuy5pzes2xjjoxycpzo5;E. Schelotto;Brighton & Hove Albion;0,377325846;0;6;0,062887641
1n26t7p3u5vcotyw0sy8tem6t;Bruno Saltor;Brighton & Hove Albion;0,095204815;0;2;0,047602408
19z8jmren3eytg7fbuzqv73kl;T. Alexander-Arnold;Liverpool;1,061271584;1;12;0,088439299
dxeju5zcb6j8etdgwq0kweor9;R. Barkley;Chelsea;0,774958319;0;2;0,38747916
f3c5u3v9fehl16ztid18lbl5h;H. Saivet;Newcastle United;0,040447764;1;1;0,040447764
4njl5iqybub0cxbhjh2xbft9l;M. Holgate;Everton;0,61793316;0;6;0,10298886
7y6f63pj7horkzhdzbge02rqh;C. Hudson-Odoi;Chelsea;0,126650844;0;2;0,063325422
1rz6bw398na1i3t29rop7ikt1;J. Ward;Crystal Palace;0,320940844;0;5;0,064188169
9twvo5p1ge4zfgy5hcu0nsvdh;A. Oxlade-Chamberlain;Arsenal;0,412311814;0;9;0,045812424
eczc8ttdfagqliov10cuqeuol;Y. Tour??;Manchester City;0,296530603;0;5;0,059306121
e9wu8dcamrtj3ftbx3nmhusid;K. Walker;Manchester City;0,63704233;0;13;0,049003256
cpd8prwzxf0rzevtk33fpryt;T. Davies;Everton;1,835683577;2;21;0,087413504
awda32rw2clw0sjemf7rkcel1;C. Eriksen;Tottenham Hotspur;7,272885335;10;97;0,074978199
8lst9t1pyjhibrxh7xxl3wn9x;M. Ritchie;Newcastle United;3,728752654;3;59;0,063199198
66r7rq9kcoyow46ovmhzrtec5;C. Wilson;AFC Bournemouth;7,234167606;8;53;0,136493728
f54pd3cld0qkc8ol15bk9ye39;F. Fern?≠ndez;Swansea City;0,660491884;1;8;0,082561485
57qslvt6x1gbjth2zsy47je1h;P. Jagielka;Everton;0,424428583;0;7;0,060632655
a4qjllaut1bo0ng3x4xu5lq6t;A. Ayew;Swansea City;1,913360656;0;13;0,147181589
dxze3b3fsfl814bjcs7q6wcet;V. van Dijk;Liverpool;1,180931471;0;16;0,073808217
20wvh9al53baedfzbzykpvkyd;S. Rond??n;West Bromwich Albion;7,57915382;7;79;0,095938656
e40eqhxzzid2chfyxph37tuxh;Ander Herrera;Manchester United;0,635758487;0;12;0,052979874
f482w50k80zbyb2ykh84yijf9;P. Pogba;Manchester United;8,198489457;6;76;0,107874861
2o9fqapnt5ixaydwbk9gjtolx;W. Rooney;Everton;4,009949134;7;39;0,102819209
c2jqa9vozhqu7x79h5rr2n1ed;K. De Bruyne;Manchester City;5,926633467;8;94;0,063049292
7sr1pnf0p9xmgu7xx6bbd4w5x;J. Gu?¯munds??son;Burnley;4,224450629;2;54;0,078230567
5o0h8eeydl8t92qp3ywekqh1x;A. Ramsey;Arsenal;6,130183684;7;56;0,109467566
edvzxn33awfs9co0lvwf6giqd;M. Bauer;Stoke City;0,199896421;0;3;0,06663214
7s1q4rd90gi1gwbko34fuvhlh;X. Shaqiri;Stoke City;4,344958128;8;68;0,063896443
f2o156jeg6h8pac599kkcqqj9;A. Surman;AFC Bournemouth;1,154418972;2;18;0,064134387
cjdycctu96jilvbvnl7ndh9sl;C. Wood;Burnley;6,34175202;10;39;0,162609026
8qgbxff7xlg0zjtyees7ljljp;R. Lukaku;Manchester United;12,01549853;16;85;0,141358806
3u3nhne8cjkoekaom1kqch4gl;J. Ibe;AFC Bournemouth;3,480881497;2;54;0,064460768
a1oyrdwf1kyutqivxk753mzmd;J. McArthur;Crystal Palace;4,723477002;5;30;0,157449233
9k1ytj3z42ggp14vkn39hiymt;Pedro Obiang;West Ham United;0,676460434;2;13;0,052035418
ddqw1wuljbuxfy7dqctje9z9x;G. Bong;Brighton & Hove Albion;0,161847491;0;4;0,040461873
5awkzgwwh48prwgvxwewuc5hx;O. Giroud;Arsenal;3,046142266;4;18;0,169230126
f34582vxl4yv5qqudl09a7umt;A. Lallana;Liverpool;1,308516843;0;11;0,118956077
4n782p6eaok71ai7ecj1jo1jp;D. Gray;Leicester City;2,847325304;3;36;0,07909237
40lfowf92x7x27rcd6u0d3ahh;B. Sako;Crystal Palace;2,625652304;3;17;0,154450136
e5mjphb52suw89189nyca72z9;E. Choupo-Moting;Stoke City;6,832139993;5;60;0,113869
bmk0efhzrno1sgr3g8yijoa8l;A. Ogbonna;West Ham United;0,746532838;1;8;0,093316605
29dp5gmu5xbd04mozwxq5tjh1;J. Gomez;Liverpool;0,34601712;0;5;0,069203424
2kbj1c3ne6hz7tollme7p7glx;L. Narsingh;Swansea City;0,74241686;1;9;0,082490762
709tvsyynpz1tx7snba1whwwl;G. Sigur?¯sson;Everton;3,289544636;4;39;0,084347298
albgykp944mwlxs894bx3326t;S. Ireland;Stoke City;0,27408684;0;3;0,09136228
azwg41yu27i0x2qs9omgkng0l;R. Aarons;Newcastle United;0,105006695;0;2;0,052503348
d3hg7lo01o84dsvzud3b6vsnp;O. McBurnie;Swansea City;0,466628378;0;5;0,093325676
4nmoo21cjtv94uuzf5folxvx1;W. Morgan;Leicester City;1,63686563;0;13;0,125912741
4fvtwbl1hrxgs9lg957rxladx;M. Yoshida;Southampton;1,831488565;2;19;0,096394135
33s2i3l13q92rvo28o3j27etx;A. King;Leicester City;0,577898223;1;6;0,096316371
2ub88jcc3vku6mrnt5fb3oyqd;Renato Sanches;Swansea City;0,577307068;0;12;0,048108922
df7n0r366r77ujzxdedwcomol;Lee Chung-Yong;Crystal Palace;0,040486669;0;1;0,040486669
dbebh5mvzowjrp7h4qvzxvaol;W. Hughes;Watford;1,007816504;2;12;0,083984709
4gxrl3rrfamhtr6as1amupd5h;S. Ward;Burnley;0,323130482;1;6;0,05385508
4upzspmuautmtl51yxe3kva39;Ahmed Hegazy;West Bromwich Albion;1,691854692;2;14;0,120846764
8qezzr83ofw7htqufohg2fwlx;Emerson;Chelsea;0,275147508;0;2;0,137573754
6otgu2ezmd171skyysl1ku09h;P. Dummett;Newcastle United;0,338810725;0;4;0,084702681
1tbc8iokapjgu8zjrc1knq28l;J. Bednarek;Southampton;0,117267603;1;1;0,117267603
5ppt0al5l0aqlvu2ygtdo2bx1;G. Cameron;Stoke City;0,303534313;0;5;0,060706863
a1u7272606p7abic3re1p5hhx;J. McCarthy;Everton;0,100459989;0;1;0,100459989
5fe9nui6tiwb7pktbhlwvzl5h;S. McQueen;Southampton;0,053243008;0;1;0,053243008
6krs130vpjwfkyo4227f2fkr9;R. Klavan;Liverpool;0,984969219;1;1;0,984969219
c5d1ck5rlfb1nrvr8nlwigvdh;K. Mirallas;Everton;0,328476967;0;4;0,082119242
5cw4n6kdaa7imeyaiuo2pnq39;D. Luk??bakio;Watford;0,055540213;0;1;0,055540213
18paf5a7rfe4kutxjl4cwd695;H. Barnes;Leicester City;0,134496726;0;1;0,134496726
8yv9xuzriaecvvssfm8dlmz85;Danilo;Manchester City;1,191010348;3;19;0,062684755
9j742o5vdc7d54x1xdz4t9ck5;S. Kolaè≠inac;Arsenal;2,324964473;2;21;0,110712594
cotiiu6mjkfx5xa63nhfbdf4l;S. Man??;Liverpool;9,146929321;10;70;0,130670419
8kb5h8df97ju107n9ibigo1cl;A. Iwobi;Arsenal;4,093889226;3;45;0,090975316
4zxrdmwphkxvkvo6bt30uanrp;P. H??jbjerg;Southampton;0,858694857;0;16;0,053668429
9knq8u3gvl2kho5mih512n2z9;Adrien Silva;Leicester City;0,51804349;0;11;0,047094863
4c3pwnxhk5vyxh3sxppw8vob9;A. Carroll;West Ham United;2,292342957;3;28;0,081869391
dxb1r4gqgxkngb0pzvfby9iol;M. Schneiderlin;Everton;0,492194842;0;5;0,098438968
cjm9hrspcnmjhqttuiz5fkgr9;Deulofeu;Watford;0,743383035;1;8;0,092922879
bv9ejevyrwdqc1j5rw4tkiy1h;F. Had?Ærgjonaj;Huddersfield Town;0,37588127;0;8;0,046985159
ceerfv28fygp7m2euv5n5uu39;I. Gueye;Everton;1,641357524;2;23;0,071363371
drwacyyicuhy3heg4j0ipqj85;Ayoze P??rez;Newcastle United;7,328115865;8;60;0,122135264
dsteap0b6lis83b9au13evr2t;M. Phillips;West Bromwich Albion;3,102215511;2;28;0,110793411
bwgjvtqtuflgq4ov3xis75vbp;A. Barnes;Burnley;7,681369771;9;60;0,12802283
5hep0bzxshhmn2ihx8a5f3p3p;L. Mousset;AFC Bournemouth;1,453444823;2;22;0,066065674
7o9bkf7no8wz167ingslfimdx;C. Smalling;Manchester United;1,894614446;4;13;0,145739573
8g7clz1z04oqjxhg8xnqc7105;A. Doucour??;Watford;4,201671763;7;47;0,089397272
7z5ugeh3ejhwa3c8tg7idkpud;J. Lascelles;Newcastle United;1,253478464;3;12;0,104456539
3uryxh0ztshuidtv7urv251hx;C. Tosun;Everton;2,849597264;5;19;0,149978803
a13bt8fcp7mnpoqfrjwjsvetx;T. Deeney;Watford;3,738837437;2;31;0,120607659
363nsa82dww242zeo09wpcslx;T. Abraham;Swansea City;7,273030359;5;42;0,173167389
13ll29mtf7pxwz1yf0i40tsd1;David Silva;Manchester City;6,431689398;9;54;0,119105359
54mikuxbl9pelq500ik63g15h;J. McClean;West Bromwich Albion;2,349065798;1;30;0,078302193
xm50j2dki5ml1gzx3y0i0zbp;M. Albrighton;Leicester City;1,453348133;2;20;0,072667407
94jgdou8wwsu1js5syif03qhh;S. Dann;Crystal Palace;2,233919997;1;19;0,117574737
ex186m2z3yp666b1g219a8ted;A. Mawson;Swansea City;2,071844155;2;20;0,103592208
f4cykd65su8xbme6xdc1iw7o5;A. Lacazette;Arsenal;9,578630572;12;66;0,145130766
7usl4495egoptlrd762f0arbp;B. Chilwell;Leicester City;0,350841736;0;6;0,058473623
6fzbp94hf19ysotdassrqdc5x;A. R?¨diger;Chelsea;1,963495046;2;15;0,13089967
c0yxqwkxqx1sty7abj1qwh9zp;D. Welbeck;Arsenal;4,441373002;5;32;0,138792906
dvj6rdi2k0td95oxldbj6e28l;D. Solanke;Liverpool;4,104284126;1;22;0,186558369
51szz5ti75hkckhdj7sk5n36d;A. Valencia;Manchester United;0,767194166;3;16;0,047949635
vl1b0gayryiqvl5dlukpmswl;A. S?≠nchez;Arsenal;6,281723466;6;68;0,092378286
aafz6q5ggn9e6m5hprc71lgph;M. van der Hoorn;Swansea City;1,118302198;1;10;0,11183022
wr2f0yl1bf68r73hkjee2pqt;T. Bakayoko;Chelsea;3,053793231;2;40;0,076344831
2mvi0tqbe0ssqz18wlbf7p7f9;P. Crouch;Stoke City;4,368036477;5;23;0,189914629
8920kmyrmhle0rmi3tcvujwet;M. ??zil;Arsenal;3,128616768;4;39;0,080220943
5nt3khx8jtvz8n83tzuaot68l;M. Rojo;Manchester United;0,23936365;0;5;0,04787273
9jiectkc8rk0ivxn80l87ic45;I. Slimani;Leicester City;1,250626056;1;7;0,178660865
7udt7gcpdccho3xwb2zoiq02d;S. Francis;AFC Bournemouth;0,597961083;0;13;0,045997006
8pb6iiphpyxdlpbs4dpunr8wl;S. Aurier;Tottenham Hotspur;0,683900251;2;15;0,04559335
edbfrlou976fl038ocrpa09h;D. Sturridge;Liverpool;2,25854342;2;21;0,107549687
6g857hx8sdddxaxs487e1xihh;M. Wagu??;Watford;0,350844007;1;3;0,116948002
aiehjyb5unahdn0somr3ewa1h;J. Lolley;Huddersfield Town;0,138537089;1;3;0,04617903
65z99j774kjnbf7vm0u2q0jit;K. Trippier;Tottenham Hotspur;0,266613239;0;7;0,038087606
33cny48k38nlo8pcx3i24ldqt;P. Billing;Huddersfield Town;0,370949813;0;7;0,05299283
9hvnc4u8llay0i2nq37gdshjp;J. Puncheon;Crystal Palace;1,527366347;0;10;0,152736635
9tc6mprxpu2rc5ptlp5ljw7h1;T. Alderweireld;Tottenham Hotspur;0,474752688;0;10;0,047475269
a3ms8havadt1y9x381l325txx;V. Lindel??f;Manchester United;0,020882247;0;1;0,020882247
b99vbk3jddyzdw29h7ea0ma51;G. Nkoudou;Burnley;0,213491239;0;4;0,05337281
8kar47kxxc8f20vc9ul2ez3yt;O. Burke;West Bromwich Albion;0,494553071;0;4;0,123638268
5qfa3h4gut5jlnfkexq5m1djp;H. Winks;Tottenham Hotspur;0,153611433;0;3;0,051203811
ub3g41w6l3yfyzs4h24vpn8p;M. Obafemi;Southampton;0,223235562;0;1;0,223235562
9jw0h4escxh3eqz8oh860r3yt;E. Bailly;Manchester United;1,111235109;1;3;0,370411703
a7uo47nehqo2irfllck81uqxh;J. Riedewald;Crystal Palace;0,054941865;0;1;0,054941865
dirz5ieaz5ewtdcs3x1ndge6t;E. Mangala;Everton;0,100335398;0;1;0,100335398
596e4chumhaa7t4xctzglthw5;C. Fuchs;Leicester City;0,459902286;0;11;0,041809299
6b9erfx1rf9nff83300tntadx;Roberto Firmino;Liverpool;9,191870769;14;83;0,110745431
1xscywgyfqisqexmpfvbf9g45;H. Mkhitaryan;Arsenal;1,790545368;2;21;0,085264065
axicg3mdtrur97rjz423pl8t1;A. Mooy;Huddersfield Town;2,640619006;3;28;0,094307822
6fz5d1z4587tqdldr261cp1p1;M. Noble;West Ham United;0,824908053;2;13;0,063454466
2oijcg6e36mwy3ie1num5wclx;T. Walcott;Everton;1,810896202;3;19;0,095310326
51xwrb0qit04oz9x01p2gghjp;K. †Ø?heanach†Ø?;Leicester City;4,440796033;3;29;0,153130898
6m2pk6odyb3atayt6u8cifahh;D. Tadié?;Southampton;4,778108388;5;39;0,1225156
2smmv9hdoiet7necaf00ol51x;T. Mings;AFC Bournemouth;0,020424555;0;1;0,020424555
9wbf00lybk9fqablaqwg5cn2t;é¯. G?¨ndoé?an;Manchester City;3,221778412;3;34;0,094758189
3e8mxxfs5q7gt4lg2beqpkwyd;Beller??n;Arsenal;2,182414268;2;29;0,075255664
7ws6w5ad1qkd8wffyb74m28l;C. Cathcart;Watford;0,115161222;0;2;0,057580611
7uxt9a7t22ij4reg1uire5uqd;L. Shaw;Manchester United;0,554525825;0;12;0,046210485
7btmjzlihczblbm55jtopzg0l;J. Hogg;Huddersfield Town;0,704386018;0;12;0,058698835
9g7jit9xa9c5b25gfl6wy7kd1;A. Westwood;Burnley;0,735364033;0;8;0,091920504
f5567t48q0846fsnq6d3mqfv9;Iborra;Leicester City;2,064391572;3;14;0,147456541
eziqega9e25bg939pfh4vjp3p;A. Robertson;Liverpool;0,875802542;1;12;0,072983545
d1qg8ju3u13idyvvncz6zb105;G. Cahill;Chelsea;0,629194842;0;10;0,062919484
3imsbq3n9zgkzp668lsbklg45;Mohamed Elneny;Arsenal;0,44865199;0;8;0,056081499
6nd207wf78npdd9ui5hom1xat;S. Okaka;Watford;1,795068429;1;10;0,179506843
a8gzcehm7lkmw9fe2ofrna3th;D. Fletcher;Stoke City;0,540056546;1;11;0,04909605
3vxh219sef8mooilemi8xbs9h;Philippe Coutinho;Liverpool;3,60517006;7;54;0,066762409
4fsvhj2hcujfwrz0kjo76u1g5;J. Stanislas;AFC Bournemouth;3,200152749;4;44;0,072730744
dxze3b3fsfl814bjcs7q6wcet;V. van Dijk;Southampton;1,068805061;0;11;0,097164096
bhsoe49s9vpa6v62rswirhsl;R. Bertrand;Southampton;1,265363424;0;20;0,063268171
az767vfe6ig8vwir9uu2eu3th;E. Kachunga;Huddersfield Town;1,905431004;1;12;0,158785917
6wa837v5i330nm5lqm9nckfrp;D. Stephens;Brighton & Hove Albion;1,708720615;0;19;0,089932664
16l7395yh2w7bphsec4j6hu51;P. N'Diaye;Stoke City;1,703105969;2;19;0,089637156
9clhampzc9mhqacithsgioc0l;M. Demb??l??;Tottenham Hotspur;0,570296684;0;11;0,051845153
7jn9kl5wq29d41ekc2fz2rs2d;N. Ak??;AFC Bournemouth;1,447348194;2;18;0,080408233
7c3ue1a0utnvk7986i3cwk7v9;S. Mustafi;Arsenal;0,687368064;3;13;0,052874466
356hlyxmm0xoknzmoxfu2frv9;S. Defour;Burnley;0,95755917;1;19;0,050397851
4oyobe8stmkj7v4t6dci66g2d;P. Zabaleta;West Ham United;0,541946503;0;6;0,090324417
3agihhqej8zosfte96z4rot79;P. Mertesacker;Arsenal;0,209206872;1;2;0,104603436
66939rcic8zhw13nlcniiq4t1;B. Mee;Burnley;1,827263072;0;25;0,073090523
ashza2qkgnak7wb3vuz5bnzyt;D. Ings;Liverpool;1,097042423;1;8;0,137130303
bc0xr30uxu4ppotxy8qe4f5cl;H. Arter;AFC Bournemouth;0,527052275;1;11;0,047913843
9sbx7dlressy910i8uuztf93p;Z. Ibrahimovié?;Manchester United;0,271145229;0;4;0,067786307
b27pmpcvny40pkcx87tdddsyd;A. Mitrovié?;Newcastle United;0,639441777;1;4;0,159860444
dirz5ieaz5ewtdcs3x1ndge6t;E. Mangala;Manchester City;0,160630958;0;1;0,160630958
1z3g8r34ph9ns6y1qd7qrhnmd;D. Sakho;West Ham United;1,260934325;2;9;0,140103814
4szqfu5xdvo92qzfr2rywjdud;L. Ulloa;Brighton & Hove Albion;0,899013476;1;2;0,449506738
dd6ao1xyzj2ll9w394f250qtx;J. Collins;West Ham United;0,274125282;1;4;0,06853132
8pvha1gcylcga0biqxrf805pl;T. Campbell;Stoke City;0,331748265;0;2;0,165874133
9kvp5ddeay1cmfwoao8eo1vbp;S. Byram;West Ham United;0,246499892;0;4;0,061624973
f2wjw84p0ztxt636u2ibnoxxx;M. Sakho;Crystal Palace;1,447341434;1;3;0,482447145
3pxe4cqev5loojxj45tphh13p;K. Bartley;Swansea City;0,138528228;0;2;0,069264114
3yl0m3n14kek9pwkp7catyh9l;A. Sabiri;Huddersfield Town;0,307826178;0;5;0,061565236
cyg7icft0ojp9wdbyq9nlkwyd;J. Murphy;Brighton & Hove Albion;0,070734875;0;1;0,070734875
23oysjfutg5xy1f3o9bapnmxh;Javi Manquillo;Newcastle United;0,081570095;0;2;0,040785047
by3erot4bzfc6y1oip4aayoyd;B. Watson;Watford;0,04529976;0;1;0,04529976
2tw82upv8rbgsrdlnz696sez9;J. Izquierdo;Brighton & Hove Albion;4,450036945;5;52;0,085577634
6v1o4s2acog9guff3folo1jh1;J. Vardy;Leicester City;11,64930198;15;65;0,17922003
7fmpgkx58o9pivo2bbnxxkt05;Aymeric Laporte;Manchester City;0,1426729;0;3;0,047557633
